2020-04-02 23:53:43.161140:	Precision:0.0036666666666666666
2020-04-02 23:54:01.141864:	Precision:0.09
2020-04-02 23:55:58.931153:	Precision:0.37816666666666665
2020-04-02 23:58:49.342812:	Precision:0.8145555555555556
2020-04-03 00:00:36.267801:	Precision:0.04425925925925926
2020-04-03 00:00:54.301164:	Precision:0.028333333333333332
2020-04-03 00:01:12.914614:	Precision:0.11166666666666666
2020-04-03 00:01:31.241123:	Precision:0.0
2020-04-03 00:02:22.023936:	Precision:0.11041666666666666
2020-04-03 00:02:40.130387:	Precision:0.49833333333333335
2020-04-03 00:03:08.510979:	Precision:0.36083333333333334
2020-04-03 00:03:26.151969:	Precision:0.056666666666666664
2020-04-03 00:03:44.204229:	Precision:0.051666666666666666
2020-04-03 00:05:09.293918:	Precision:0.10904761904761905
2020-04-03 00:05:28.033132:	Precision:0.03333333333333333
2020-04-03 00:08:18.834618:	Precision:0.3426666666666667
2020-04-03 00:08:37.788408:	Precision:0.11666666666666667
2020-04-03 00:08:55.702530:	Precision:0.06
2020-04-03 00:11:14.974537:	Precision:0.06222222222222222
2020-04-03 00:13:55.464973:	Precision:0.05226190476190476
2020-04-03 00:16:03.625536:	Precision:0.08803030303030303
2020-04-03 00:16:21.745747:	Precision:0.08166666666666667
2020-04-03 00:16:40.550848:	Precision:0.12666666666666668
2020-04-03 00:18:18.070256:	Precision:0.13541666666666666
2020-04-03 00:21:23.681638:	Precision:0.07291666666666667
2020-04-03 00:23:10.008577:	Precision:0.30185185185185187
2020-04-03 00:23:29.103379:	Precision:0.03833333333333333
2020-04-03 00:23:47.333004:	Precision:0.21333333333333335
2020-04-03 00:24:05.378668:	Precision:0.041666666666666664
2020-04-03 00:25:30.608493:	Precision:0.017619047619047618
2020-04-03 00:25:49.428363:	Precision:0.5
2020-04-03 00:26:07.952745:	Precision:0.16833333333333333
2020-04-03 00:26:26.016416:	Precision:0.07333333333333333
2020-04-03 00:26:43.967232:	Precision:0.5016666666666667
2020-04-03 00:27:01.582224:	Precision:0.34833333333333333
2020-04-03 00:27:19.584544:	Precision:0.11833333333333333
2020-04-03 00:30:10.659596:	Precision:0.02666666666666667
2020-04-03 00:30:28.791799:	Precision:0.17333333333333334
2020-04-03 00:30:46.814155:	Precision:0.12666666666666668
2020-04-03 00:31:05.238839:	Precision:0.06
2020-04-03 00:32:29.172693:	Precision:0.0014285714285714286
2020-04-03 00:34:15.989061:	Precision:0.2531481481481481
2020-04-03 00:36:03.797332:	Precision:0.07
2020-04-03 00:38:13.167619:	Precision:0.041666666666666664
2020-04-03 00:38:30.855630:	Precision:0.03
2020-04-03 00:38:48.911954:	Precision:0.23333333333333334
2020-04-03 00:39:06.750115:	Precision:0.08333333333333333
2020-04-03 00:39:24.370170:	Precision:0.11333333333333333
2020-04-03 00:39:42.758638:	Precision:0.09
2020-04-03 00:40:44.919540:	Precision:0.008666666666666666
2020-04-03 00:41:14.218525:	Precision:0.01
2020-04-03 00:41:32.310365:	Precision:0.0
2020-04-03 00:41:50.521682:	Precision:0.455
2020-04-03 00:42:07.973636:	Precision:0.018333333333333333
2020-04-03 00:42:25.719568:	Precision:0.051666666666666666
2020-04-03 00:42:44.094903:	Precision:0.0
